n,best_G,best_pn,pn(Ln),pn(caterpillar),pn(caterpillar2),pn(tree)
10,I^o??KFB_,1276,1276,1276,1276,
12,K^o??KF@?C`B,3076,3076,3076,3076,
14,M^oG?KF????B?F?e?,5504,5504,7188,5504,
16,O?O?i?HgD?F?_E@_GK?gA,3640,12744,3640,3640,3640
18,QC?_HDGC?O?w_COA@@H?_c?`?_O,7072,22532,7072,7072,7072
20,S^oG??B?wM?_???@_?w???????W??w?Co,11708,51532,12816,11708,12816
22,UGA?_P?W?A?OC`?Q?_???GKA??sG@?P?_OCOAAO?,7156,90760,7156,7156,7156
24,WK?G?C_?R?Q???B?@A?@@??`?g?E?C_??CAG??q?C_C??aG,12220,206800,12220,12220,12220
26,Y?c???AA?L???OG?g?_D??OaO?@?GA?G?@@G@C?A?@ACA?O@?CCc?@??,21760,363788,19596,19064,19596
28,[G?G_C?CO@@??I??O?CAG??G?@J????[@_??@???O??_?H_@??ECc???C?SC?B??,29568,827988,11824,11824,11824
30,]??@?OO?AGCOA??G?_?AC?C??O?O_?`A@?G?P??GAC_A?G?_@??_?G?_?@_DC?????G`???K?_,18520,1456016,18520,18520,18520
